# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.4767E+00   1.4345E+00
   2.4771E+00   1.4344E+00
   2.4776E+00   1.4344E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4787E+00   1.4346E+00
   2.4788E+00   1.4346E+00
   2.4789E+00   1.4346E+00
   2.4790E+00   1.4347E+00
   2.4793E+00   1.4349E+00
   2.4797E+00   1.4356E+00
   2.4804E+00   1.4372E+00
   2.4804E+00   1.4372E+00
   2.4804E+00   1.4372E+00
   2.4804E+00   1.4372E+00
   2.4804E+00   1.4372E+00
   2.4804E+00   1.4372E+00
   2.4804E+00   1.4372E+00
   2.4805E+00   1.4373E+00
   2.4805E+00   1.4373E+00
   2.4805E+00   1.4373E+00
   2.4805E+00   1.4374E+00
   2.4806E+00   1.4375E+00
   2.4808E+00   1.4377E+00
   2.4810E+00   1.4381E+00
   2.4814E+00   1.4389E+00
   2.4817E+00   1.4395E+00
   2.4823E+00   1.4404E+00
   2.4832E+00   1.4420E+00
   2.4832E+00   1.4420E+00
   2.4832E+00   1.4420E+00
   2.4833E+00   1.4420E+00
   2.4833E+00   1.4420E+00
   2.4833E+00   1.4420E+00
   2.4833E+00   1.4420E+00
   2.4833E+00   1.4421E+00
   2.4833E+00   1.4421E+00
   2.4833E+00   1.4422E+00
   2.4834E+00   1.4423E+00
   2.4835E+00   1.4425E+00
   2.4837E+00   1.4428E+00
   2.4840E+00   1.4434E+00
   2.4846E+00   1.4443E+00
   2.4851E+00   1.4451E+00
   2.4855E+00   1.4458E+00
   2.4859E+00   1.4463E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4470E+00
   2.4865E+00   1.4471E+00
   2.4866E+00   1.4471E+00
   2.4866E+00   1.4472E+00
   2.4867E+00   1.4474E+00
   2.4869E+00   1.4476E+00
   2.4873E+00   1.4480E+00
   2.4878E+00   1.4486E+00
   2.4888E+00   1.4496E+00
   2.4888E+00   1.4496E+00
   2.4888E+00   1.4496E+00
   2.4888E+00   1.4496E+00
   2.4888E+00   1.4496E+00
   2.4889E+00   1.4496E+00
   2.4889E+00   1.4496E+00
   2.4889E+00   1.4496E+00
   2.4889E+00   1.4496E+00
   2.4889E+00   1.4496E+00
   2.4889E+00   1.4497E+00
   2.4889E+00   1.4497E+00
   2.4890E+00   1.4497E+00
   2.4892E+00   1.4496E+00
   2.4894E+00   1.4493E+00
   2.4898E+00   1.4488E+00
   2.4901E+00   1.4484E+00
   2.4906E+00   1.4480E+00
   2.4911E+00   1.4476E+00
   2.4914E+00   1.4474E+00
